City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,canutama,-6.5339,-64.3831,27.64,66,100,1.21,BR,1689467122
369,tofol,5.3248,163.0078,27.88,83,75,1.54,FM,1689467123
370,badger,64.8,-147.5333,19.17,74,100,2.06,US,1689467123
371,messaad,34.1543,3.5031,28.04,11,0,0.34,DZ,1689467123
372,ketchikan,55.3422,-131.6461,16.26,88,100,3.09,US,1689466928
373,oistins,13.0667,-59.5333,28.05,83,40,7.2,BB,1689466828
374,gamba,-2.65,10.0,19.83,96,14,1.67,GA,1689467124
375,kingston,17.997,-76.7936,29.58,83,20,8.75,JM,1689466900
376,monte azul paulista,-20.9072,-48.6414,16.49,39,0,2.6,BR,1689467125
377,masterton,-40.9597,175.6575,13.82,79,100,7.94,NZ,1689467126
378,svetlyy,54.675,20.1347,17.76,62,62,5.17,RU,1689467126
379,hilo,19.7297,-155.09,29.6,70,100,4.12,US,1689467126
380,dondo,-19.6094,34.7431,15.38,84,1,0.9,MZ,1689467127
381,natal,-5.795,-35.2094,26.12,83,20,4.63,BR,1689467110
382,goundi,9.3627,17.366,22.05,89,98,1.5,TD,1689467128
383,korla,41.7597,86.1469,30.84,22,1,5.59,CN,1689467128
384,uliastay,47.7417,96.8444,18.4,46,30,1.85,MN,1689467128
385,tromso,69.6496,18.957,11.01,93,20,3.09,NO,1689466929
386,zheleznogorsk-ilimskiy,56.5768,104.1217,18.81,60,76,1.53,RU,1689467129
387,beyneu,45.3167,55.2,25.38,61,3,6.52,KZ,1689467129
388,tadine,-21.55,167.8833,22.79,51,2,9.28,NC,1689467130
389,mazamari,-11.3258,-74.5308,22.1,90,65,0.19,PE,1689467130
390,mount isa,-20.7333,139.5,22.87,38,75,4.63,AU,1689467130
391,san felipe,10.3399,-68.7425,23.37,97,80,1.91,VE,1689467131
392,sudislavl',57.8817,41.7083,14.18,81,100,1.23,RU,1689467131
393,estreito,-5.7833,-43.25,27.35,41,17,1.03,BR,1689467131
394,yung shue wan,22.2333,114.1167,30.34,73,77,7.49,HK,1689467132
395,moyynkum,44.2914,72.9469,25.92,26,0,3.89,KZ,1689467132
396,mikhaylovka,50.06,43.2379,15.44,88,81,5.4,RU,1689467132
397,tolanaro,-25.0319,46.9987,18.04,88,20,3.09,MG,1689467133
398,taoudenni,22.6783,-3.9836,35.84,26,13,8.04,ML,1689467133
399,nieves,15.3274,120.9485,24.73,90,98,4.37,PH,1689467133
400,chachersk,52.9164,30.9179,14.95,73,6,2.38,BY,1689467134
401,kenora,49.8167,-94.4337,15.43,82,75,4.02,CA,1689467020
402,loango,-4.6719,11.8312,19.94,94,1,2.47,CG,1689467134
403,sarupathar,26.1984,93.8094,25.05,95,100,1.42,IN,1689467135
404,medina,24.4686,39.6142,37.24,9,20,1.54,SA,1689467135
405,miri,4.4148,114.0089,26.08,83,20,1.54,MY,1689467135
406,mormugao,15.4,73.8,26.59,94,40,2.06,IN,1689467136
407,fort bragg,35.139,-79.006,28.32,96,100,2.06,US,1689467136
408,mejit,10.2753,170.8646,28.27,75,33,7.16,MH,1689467136
409,ono,34.85,134.9333,30.71,76,75,2.9,JP,1689467137
410,laojunmiao,39.8333,97.7333,24.14,25,2,1.77,CN,1689467137
